STOP_ID_ANONY,STOP_FRISK_DATE,STOP_FRISK_TIME,MONTH2,DAY2,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,STOP_ID_ANONY-2,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,STOP_ID_ANONY-1,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR
4052,9/21/2019,18:36:00,September,Saturday,O,,,41,C,INTERVALE AVENUE && EAST 163 STREET,INTERVALE AVENUE,1012788,238406,,PBBX,BRONX,4052,ROBBERY,0,0,0,0,0,0,0,0,0,0,4052,POM,41,LT,41,1,0,0,0,1,1,0,0,0,0,(null),(null),16,MALE,BLACK HISPANIC,6,160,THN,BRO,BLK
4053,9/21/2019,18:36:00,September,Saturday,O,,,41,C,INTERVALE AVENUE && EAST 163 STREET,INTERVALE AVENUE,1012788,238406,,PBBX,BRONX,4053,ROBBERY,0,0,0,0,0,0,0,0,0,0,4053,POM,41,LT,41,1,0,0,0,1,1,0,0,0,0,(null),(null),18,MALE,BLACK HISPANIC,5.5,130,THN,BRO,BLK
4054,9/21/2019,18:36:00,September,Saturday,O,,,41,C,INTERVALE AVENUE && EAST 163 STREET,INTERVALE AVENUE,1012788,238406,,PBBX,BRONX,4054,ROBBERY,0,0,0,0,0,0,0,0,0,0,4054,POM,41,LT,41,1,0,0,0,1,1,0,0,0,0,(null),(null),19,MALE,WHITE HISPANIC,5.5,125,THN,BRO,BLK
4055,9/21/2019,18:36:00,September,Saturday,O,,,41,C,INTERVALE AVENUE && EAST 163 STREET,INTERVALE AVENUE,1012788,238406,,PBBX,BRONX,4055,ROBBERY,0,0,0,0,0,0,0,0,0,0,4055,POM,41,LT,41,1,0,0,0,1,1,0,0,0,0,(null),(null),18,MALE,WHITE HISPANIC,5.8,150,THN,BRO,BLK
4056,9/28/2019,04:16:00,September,Saturday,O,,,41,D,TIFFANY STREET && WESTCHESTER AVENUE,TIFFANY STREET,1013343,239185,,PBBX,BRONX,4056,PETIT LARCENY,0,1,0,0,0,0,0,0,0,0,4056,POM,41,SGT,41,1,0,0,0,1,0,0,0,0,0,(null),(null),29,MALE,BLACK HISPANIC,5.9,170,THN,BRO,BLK
4057,9/29/2019,11:09:00,September,Sunday,S,T,Transit,41,C,866 PROSPECT AVENUE,PROSPECT AVENUE,1011508,237996,,PBBX,BRONX,4057,CPW,0,1,0,0,1,0,0,0,0,0,4057,POM,865,SGT,865,1,0,0,0,0,0,1,0,0,1,(null),Y,21,MALE,BLACK,5.1,165,U,BRO,BLK
4059,10/4/2019,01:40:00,October,Friday,O,P,PSB,41,C,885 LONGWOOD AVENUE,LONGWOOD AVENUE,1011814,237615,,PBBX,BRONX,4059,ROBBERY,0,0,0,0,0,0,0,0,0,0,4059,POM,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),(null),25,MALE,BLACK,5.8,165,THN,BLK,XXX
4060,10/15/2019,06:15:00,October,Tuesday,,,,41,C,EAST 149 STREET && TIMPSON PLACE,EAST 149 STREET,1010986,234946,,PBBX,BRONX,4060,CPW,0,1,0,0,0,0,0,0,0,0,4060,POM,318,SGT,318,0,0,1,1,0,0,1,0,0,0,Y,(null),44,MALE,BLACK HISPANIC,5.3,200,MED,BRO,BLD
4061,10/18/2019,10:30:00,October,Friday,I,P,PSB,41,D,1031 WESTCHESTER AVENUE,WESTCHESTER AVENUE,1013920,239582,,PBBX,BRONX,4061,PETIT LARCENY,0,0,1,1,1,0,0,0,0,0,4061,POM,41,SGT,41,1,0,0,0,0,0,0,0,0,0,Y,(null),64,MALE,BLACK,5.7,130,THN,BRO,BLK
4064,10/22/2019,23:52:00,October,Tuesday,O,,,41,A,FAILE STREET && GILBERT PLACE,FAILE STREET,1015419,237298,,PBBX,BRONX,4064,CPW,0,0,0,1,1,0,0,0,0,0,4064,SGT,41,LT,41,1,0,0,0,0,1,0,0,0,0,(null),(null),42,MALE,BLACK,6.3,170,THN,BRO,BLK
4066,10/26/2019,17:18:00,October,Saturday,,,,41,C,EAST 165 STREET && TIFFANY STREET,EAST 165 STREET,1013346,239477,,PBBX,BRONX,4066,CPW,0,1,1,0,0,0,0,0,0,0,4066,POF,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),Y,18,MALE,BLACK,5.9,150,THN,BRO,BLK
4067,10/26/2019,17:18:00,October,Saturday,,,,41,C,EAST 165 STREET && TIFFANY STREET,EAST 165 STREET,1013346,239477,,PBBX,BRONX,4067,CPW,0,1,1,0,0,0,0,0,0,0,4067,POF,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),Y,19,MALE,BLACK HISPANIC,5.6,165,MED,BRO,BLK
4068,10/26/2019,17:18:00,October,Saturday,,,,41,C,EAST 165 STREET && TIFFANY STREET,EAST 165 STREET,1013346,239477,,PBBX,BRONX,4068,CPW,0,1,1,0,0,0,0,0,0,0,4068,POF,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),Y,19,MALE,WHITE HISPANIC,5.6,180,MED,BRO,BLK
4069,10/26/2019,17:18:00,October,Saturday,,,,41,C,EAST 165 STREET && TIFFANY STREET,EAST 165 STREET,1013346,239477,,PBBX,BRONX,4069,CPW,0,1,1,0,0,0,0,0,0,0,4069,POF,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),Y,18,MALE,WHITE HISPANIC,5.6,150,MED,BRO,BLK
4070,10/17/2019,19:13:00,October,Thursday,O,P,PSB,41,C,LEGGETT AVENUE && SOUTHERN BOULEVARD,LEGGETT AVENUE,1012113,235669,,PBBX,BRONX,4070,ROBBERY,0,1,0,0,0,0,0,0,0,0,4070,POM,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),Y,25,MALE,BLACK,6,200,THN,BRO,BLK
4071,11/8/2019,02:02:00,November,Friday,I,P,PSB,41,D,WESTCHESTER AVENUE && SOUTHERN BOULEVARD,WESTCHESTER AVENUE,1014160,239740,,PBBX,BRONX,4071,ROBBERY,0,1,0,0,0,0,0,0,0,0,4071,POM,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),Y,24,MALE,BLACK,5.11,155,THN,BRO,BLK
