,stop_id_anony,suspect_arrested_flag,frisked_flag,searched_flag,ask_for_consent_flg,consent_given_flg,other_contraband_flag,firearm_flag,knife_cutter_flag,other_weapon_flag,weapon_found_flag,suspects_actions_casing_flag,suspects_actions_concealed_possession_weapon_flag,suspects_actions_decription_flag,suspects_actions_drug_transactions_flag,suspects_actions_identify_crime_pattern_flag,suspects_actions_lookout_flag,suspects_actions_other_flag,suspects_actions_proximity_to_scene_flag,suspect_reported_age,suspect_height,suspect_weight,female,issuing_officer_rank,issuing_officer_command_code,supervising_officer_rank,supervising_officer_command_code,officer_in_uniform_flag,id_card_identifies_officer_flag,shield_identifies_officer_flag,verbal_identifies_officer_flag,identified_as_cop,stop_frisk_date,stop_frisk_time,year2,month2,day2,location_in_out_code,jurisdiction_code,jurisdiction_description,stop_location_precinct,stop_location_sector_code,stop_location_full_address,stop_location_street_name,stop_location_x,stop_location_y,stop_location_patrol_boro_name,stop_location_boro_name,race,hair_color,build_type,eye_color,suspected.crime
13024,13116.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,6.0,160.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-06-24,21:34:00,2019,June,Monday,O,P,PSB,121,A,202 SOUTH AVENUE,SOUTH AVENUE,938111,170621,PBSI,STATEN ISLAND,Black,Black,Medium,Black,CPW
13025,13117.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,6.0,150.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-06-24,21:34:00,2019,June,Monday,O,P,PSB,121,A,220 SOUTH AVENUE,SOUTH AVENUE,938106,170491,PBSI,STATEN ISLAND,Black,Black,Thin,Black,CPW
13026,13118.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,6.0,170.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-06-24,21:34:00,2019,June,Monday,O,P,PSB,121,A,202 SOUTH AVENUE,SOUTH AVENUE,938111,170621,PBSI,STATEN ISLAND,Black,Black,Medium,Black,CPW
13027,13119.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,6.0,165.0,0.0,POM,121,LT,121,1,0,0,0,0,2019-06-26,13:04:00,2019,June,Wednesday,O,P,PSB,121,D,26 RICHMOND HILL ROAD,RICHMOND HILL ROAD,937944,153695,PBSI,STATEN ISLAND,Black,Black,Thin,Black,Assult
13028,13120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,6.0,160.0,0.0,POM,121,LT,121,1,0,0,0,0,2019-06-26,13:04:00,2019,June,Wednesday,O,P,PSB,121,D,26 RICHMOND HILL ROAD,RICHMOND HILL ROAD,937944,153695,PBSI,STATEN ISLAND,Black,Black,Thin,Black,Assult
13029,13121.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,6.0,180.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-06-26,18:40:00,2019,June,Wednesday,O,P,PSB,121,B,192 CHARLES AVENUE,CHARLES AVENUE,946005,170652,PBSI,STATEN ISLAND,Black,Black,Medium,Black,CPW
13030,13122.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,6.0,170.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-06-28,15:35:00,2019,June,Friday,O,P,PSB,121,B,1351 FOREST AVENUE,FOREST AVENUE,946910,167343,PBSI,STATEN ISLAND,Black,Black,Medium,Black,Assult
13031,13123.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,6.0,180.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-07-01,09:59:00,2019,July,Monday,O,P,PSB,121,C,BRIELLE AVENUE && LIVINGSTON AVENUE,BRIELLE AVENUE,948709,157323,PBSI,STATEN ISLAND,Black,Black,Medium,Black,Grand Larceny Auto
13032,13124.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,6.0,170.0,0.0,POM,121,LT,121,1,0,0,0,0,2019-07-07,03:50:00,2019,July,Sunday,O,P,PSB,121,B,279 HEBERTON AVENUE,HEBERTON AVENUE,947260,170273,PBSI,STATEN ISLAND,Black,Black,Thin,Black,Robbery
13033,13125.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,6.0,180.0,0.0,POM,121,SGT,121,1,0,0,0,0,2019-07-07,15:15:00,2019,July,Sunday,O,P,PSB,121,B,PORT RICHMOND AVENUE && HARRISON AVENUE,PORT RICHMOND AVENUE,946981,171285,PBSI,STATEN ISLAND,Black,Black,Medium,Black,Menacing
